"id",name,alternativeNames,municipio,departamentoId,departamento,latitud,longitud
"05400",La Unión - Antioquia,,La Unión,5,Antioquia,5.9166667,-75.3333333
"05411",Liborina - Antioquia,,Liborina,5,Antioquia,6.75,-75.75
"05425",Maceo - Antioquia,,Maceo,5,Antioquia,6.5,-74.75
"05440",Marinilla - Antioquia,,Marinilla,5,Antioquia,6.2,-75.3
"05001",Medellín - Antioquia,,Medellín,5,Antioquia,6.2913889,-75.5361111
"05467",Montebello - Antioquia,,Montebello,5,Antioquia,5.9166667,-75.5
"05475",Murindó - Antioquia,,Murindó,5,Antioquia,6.8,-76.8
"05480",Mutatá - Antioquia,,Mutatá,5,Antioquia,7.3333333,-76.5
"05483",Nariño - Antioquia,,Nariño,5,Antioquia,5.6,-75.1666667
"05495",Nechí - Antioquia,,Nechí,5,Antioquia,8.0963889,-74.7758333
"05490",Necoclí - Antioquia,,Necoclí,5,Antioquia,8.4238889,-76.7911111
"05501",Olaya - Antioquia,,Olaya,5,Antioquia,6.6666667,-75.75
"05543",Peque - Antioquia,,Peque,5,Antioquia,7,-75.8333333
"05541",Peñol - Antioquia,,Peñol,5,Antioquia,6.25,-75.25
"05576",Pueblorrico - Antioquia,,Pueblorrico,5,Antioquia,5.8,-75.85
"05579",Puerto Berrío - Antioquia,,Puerto Berrío,5,Antioquia,6.4166667,-74.5
"05585",Puerto Nare - Antioquia,,Puerto Nare,5,Antioquia,6.1916667,-74.5866667
"05591",Puerto Triunfo - Antioquia,,Puerto Triunfo,5,Antioquia,5.8708333,-74.6455556
"05604",Remedios - Antioquia,,Remedios,5,Antioquia,7,-74.4166667
"05607",Retiro - Antioquia,,Retiro,5,Antioquia,6.0833333,-75.5
"05615",Ríonegro - Antioquia,,Ríonegro,5,Antioquia,6.1666667,-75.4166667
"05628",Sabanalarga - Antioquia,,Sabanalarga,5,Antioquia,6.9166667,-75.8
"05631",Sabaneta - Antioquia,,Sabaneta,5,Antioquia,6.15,-75.6
"05642",Salgar - Antioquia,,Salgar,5,Antioquia,6,-76
"05647",San Andrés de Cuerquía - Antioquia,,San Andrés de Cuerquía,5,Antioquia,6917,-75667
"05649",San Carlos - Antioquia,,San Carlos,5,Antioquia,6.2,-74.9166667
"05652",San Francisco - Antioquia,,San Francisco,5,Antioquia,6.1166667,-75.9833333
"05656",San Jerónimo - Antioquia,,San Jerónimo,5,Antioquia,6.45,-75.7
"05658",San José de Montaña - Antioquia,,San José de Montaña,5,Antioquia,6.8502778,-75.6833333
"05659",San Juan de Urabá - Antioquia,,San Juan de Urabá,5,Antioquia,8.7630556,-76.53
"05660",San Luís - Antioquia,,San Luís,5,Antioquia,6,-74.8333333
"05664",San Pedro - Antioquia,,San Pedro,5,Antioquia,6.45,-75.5833333
"05665",San Pedro de Urabá - Antioquia,,San Pedro de Urabá,5,Antioquia,8.2761111,-76.3786111
"05667",San Rafael - Antioquia,,San Rafael,5,Antioquia,6.3,-75
"05670",San Roque - Antioquia,,San Roque,5,Antioquia,6.4166667,-74.8333333
"05674",San Vicente - Antioquia,,San Vicente,5,Antioquia,6.3333333,-75.3333333
"05679",Santa Bárbara - Antioquia,,Santa Bárbara,5,Antioquia,5.8666667,-75.5833333
"05042",Santa Fé de Antioquia - Antioquia,,Santa Fé de Antioquia,5,Antioquia,6.5597222,-75.8280556
"05686",Santa Rosa de Osos - Antioquia,,Santa Rosa de Osos,5,Antioquia,6.6666667,-75.4166667
"05690",Santo Domingo - Antioquia,,Santo Domingo,5,Antioquia,6.4722222,-75.1647222
"05697",Santuario - Antioquia,,Santuario,5,Antioquia,6.1333333,-75.25
"05736",Segovia - Antioquia,,Segovia,5,Antioquia,7.25,-74.75
"05756",Sonsón - Antioquia,,Sonsón,5,Antioquia,5.75,-75
"05761",Sopetrán - Antioquia,,Sopetrán,5,Antioquia,6.5,-75.75
"05790",Tarazá - Antioquia,,Tarazá,5,Antioquia,7.5833333,-75.35
"05792",Tarso - Antioquia,,Tarso,5,Antioquia,5.8333333,-75.8333333
"05809",Titiribí - Antioquia,,Titiribí,5,Antioquia,6.0833333,-75.8
"05819",Toledo - Antioquia,,Toledo,5,Antioquia,7,-75.7
"05837",Turbo - Antioquia,,Turbo,5,Antioquia,8,-76.5833333
"05789",Támesis - Antioquia,,Támesis,5,Antioquia,5.6666667,-75.6666667
"05842",Uramita - Antioquia,,Uramita,5,Antioquia,6.8994444,-76.1741667
"05847",Urrao - Antioquia,,Urrao,5,Antioquia,6.3333333,-76.4166667
"05854",Valdivia - Antioquia,,Valdivia,5,Antioquia,7.3333333,-75.3333333
"05856",Valparaiso - Antioquia,,Valparaiso,5,Antioquia,5.6666667,-75.5833333
"05858",Vegachí - Antioquia,,Vegachí,5,Antioquia,6.7730556,-74.8016667
