id,name,lat,lon
05,ANTIOQUIA,6.72243395474716,-75.6245999698988
08,ATLÁNTICO,10.691144654852977,-74.98361674542848
11,"BOGOTÁ, D. C.",4.32664941085017,-74.18417790176304
13,BOLÍVAR,9.115397922120687,-74.63711074347123
15,BOYACÁ,5.6821114029586965,-73.31761170310544
17,CALDAS,5.30282380609869,-75.42718410440503
18,CAQUETÁ,1.2906870583376393,-75.00692517172861
19,CAUCA,2.5701740846627743,-76.74414729664444
20,CESAR,9.312446364924002,-73.5749157988241
23,CÓRDOBA,8.754691316868707,-75.7338775553485
25,CUNDINAMARCA,4.8377774651381085,-74.15882962088286
27,CHOCÓ,5.604723610475089,-76.84119230930906
41,HUILA,2.4360923516516473,-75.6522525041682
44,LA GUAJIRA,11.198189971043641,-72.72988154349497
47,MAGDALENA,10.143254871089617,-74.31482818617067
50,META,3.52430246008748,-73.40457480983653
52,NARIÑO,1.5187736869600108,-77.8515090139778
54,NORTE DE SANTANDER,8.027319666418471,-72.81242941247545
63,QUINDÍO,4.536916104361041,-75.7095630388143
66,RISARALDA,4.927640434720219,-75.7564571181876
68,SANTANDER,6.699296998595736,-73.44516940775794
70,SUCRE,9.165607269816158,-75.2030009004367
73,TOLIMA,4.244991858394235,-75.08113600747328
76,VALLE DEL CAUCA,3.813677072723419,-76.46208919690876
81,ARAUCA,6.74456455507698,-71.50174548846876
85,CASANARE,5.302093244617796,-72.0861623499661
86,PUTUMAYO,0.6828875321717478,-76.519313176841
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y",13.062639287122973,-81.49928310174089
91,AMAZONAS,-3.269955517555944,-70.43294192839716
94,GUAINÍA,3.029598627620144,-68.52657372852093
95,GUAVIARE,2.120906209916552,-72.13628534923322
97,VAUPÉS,0.8190948947452167,-70.310912609439
99,VICHADA,4.948929776680852,-69.36734720022031
